video_id,comment,collected_at
Jw4xitCZHec,운동 강도 세게 - 약하게 바꾸면서 하는 게 효과가 있었음.. 갠적으로 빨리뛰기 30분 빨리걷기 30분 번갈아가면서 하고 보조제라곤 체지방버닝제 하나로만 십키로 가까이뺌 식단은 거의안함,20241127_133732
Jw4xitCZHec,"저건 칼로리 관점에서 접근하는 이야기고 호르몬 관점에서 접근하면 식사후 걷는게 효율적임.. 
식사후 걸으면 혈당이 덜 오르고 인슐린 분비가 덜되어 살 덜찜
즉 공복에는 뛰고, 식사후 걸음..
둘중 하나만 해야한다면..
식사후 걸음.. 그게 장기적으로 더 효율적",20241127_133732
Jw4xitCZHec,이채널 금방 커질꺼같음 짧고 유익함 알차네,20241127_133732
Jw4xitCZHec,체중감소 목적이라면 트레드밀 속도 7놓고 뇌비우고 타는게 적합하겠네요,20241127_133732
Jw4xitCZHec,떡상 무조건 할겁니다 대박..,20241127_133732
Jw4xitCZHec,대박... 오늘도 감탄하고 갑니다.,20241127_133732
Jw4xitCZHec,결국 보고싶은 내용은 4:09에 있는 그래프 인듯 싶은데 표로 다시 정리해주거나 잠깐 멈추고 맞는 구간확인하라고 넛지 해주면 더 좋을듯 싶어요 개떡상중이네요 항상 잘 보고 있습니다.,20241127_133732
Jw4xitCZHec,"안녕하세요, 저는 29살의 조리사입니다.. 긴 시간 주방에서 일하다 보니 체중이 많이 늘었어요.  
과학적인 연구에 따르면 김소현 다이어트 방법과 EMS 운동이 체중 감량에 효과적이라고 합니다. 
최근에 2kg 감량에 성공했습니다! 
매일 아침 달리기와 김계란EMS 운동을 병행하니 체력이 좋아졌습니다. 
덕분에 더 활기차게 요리할 수 있게 되었어요. 건강해져서 정말 기쁩니다!",20241127_133732
Jw4xitCZHec,그것보다 일단 운동을 하면 반은 성공이다,20241127_133732
Jw4xitCZHec,내리막 길 너무 싫어요 어딜가든 헉헉 거리는 오르막 길이 너무 좋아요 지방 타는 느낌 ㅎㅎ,20241127_133732
Jw4xitCZHec,크.. 오늘도 양질의 유툽 감사해여,20241127_133732
Jw4xitCZHec,오 아주유익하고 쉬운 설명이네요 좋습니다,20241127_133732
Jw4xitCZHec,요즘 아침에 공복유산소하면서 재밌게 잘 보고있어요 ㅎㅎ 감사합니다,20241127_133732
Jw4xitCZHec,"강도는 어떤 정도로 할지 알겠는데
시간은 어쩔지 아직 잘 모르겠습니다
전 60~80% 계산해보니 112~150인데
운동 시간은 많을수록 지방 태우기 좋은가요?
최소 이정도는 뛰어야 한다부터
이 시간 정도 넘어가면 되려 지방연소 효율이 낮아진다던가 지방소모대비 피로나 어떤 손실이 있어
이정도까지 하고 안하는게 좋다라던가
운동 시간의 길이에 대한 부분은 어떻게 되실까요?",20241127_133732
Jw4xitCZHec,hiit 같은 고강도와 저강도 유산소가 혼합되어 있는 운동방식은 어떻게 설명되는지 궁금하네요! hiit로 운동 중인데 그것보다 중-고강도로 장시간 유산소 운동을 하는 게 더 나은 걸까요?,20241127_133732
Jw4xitCZHec,러닝끝나고 나서 쿨다운(조깅)은 필수인가요? 러닝끝나고 가벼운 쿨다운이 젖산제거에 효과가 있는지 궁금합니다,20241127_133732
Jw4xitCZHec,유산소운동을 병행할 때 체중감소 목적이면 식단은 어떻게 하는게 좋나요? 기초대사량 정도만 먹어도 괜찮을까요? 식단 관련 영상도 만들어주시면 좋을 것 같아요!,20241127_133732
Jw4xitCZHec,외부적인 자극으로 지방연소가 가능한가요? 부모님이 경락마사지같은걸로 살뺄수있다고 주장하시는데 뭐라 설명을 드려야할지..,20241127_133732
Jw4xitCZHec,계단 타는거는 별로인가요? 장시간 계단타기는 힘든거같은데 보통 10분-20분 탑니다 아파트기준 40층정도,20241127_133732
Jw4xitCZHec,젤이해하기쉬운 영상이네요,20241127_133732
