video_id,comment,likes
HGER-swn0Uo,"이 책을 읽고 지난 겨울부터 레몬식초와 초생강을 꾸준히 즐겨 먹고 있는데요. 여름이 되면서 탄산수에 타서 시원하게 먹어도 좋더라고요~ 모세혈관을 건강하고 젊게 유지시키는 데 도움이  되는 '레몬식초와 초생강' 어떤 효능이 있는지, 어떻게 만드는지, 들어보세요!^^
☆타임라인
0:00 들어가는글
 오프닝 및 책소개
 본문 시작
 클로징 멘트

*소리내어읽다 채널 영상에 태그된 제품 클릭 후 쿠팡에서 필요한 것 아무거나 구매하셔도 채널 운영에 큰 도움이 됩니다~ 감사합니다~^^",51
HGER-swn0Uo,"Good morning! 소다님  
레몬 식초 생강 
소다님 영상 보고 매일 먹고 있습니다.
아침 공복에 따뜻한 레몬수 한잔, 현미식초도 하루 2-3잔, 그리고 출출할 때 생강 홍차
레몬 식초도 좋죠 특히 전 해산물을 좋아해서 거의 매일 먹는데 초생강은 필수죠^^
오늘도 유익한 영상 고맙습니다  
행복한 하루 되시길 ️🩷",35
HGER-swn0Uo,"안녕하세요 
따뜻한 물로 레몬수를 만들어 6개월 먹고 몸안의 지방은 다 뺐어요~ 
지인분들도 효과를 보고 있네요

헌데 레몬식초는 아직 못먹어 보았네요
한번 만들어보고 싶네요~

햄복한 하루 되세요 
항상 감사합니다 ^^*",24
HGER-swn0Uo,"오늘도 굿모닝입니다! 저는 신거 먹으면 속이 쓰려서 레몬,식초같은건 못 먹겠더라구요 ㅠㅠ 오늘 영상도 잘 보겠습니다!",20
HGER-swn0Uo,생강의 매운맛은 진저롤에서 나오는 것이라고 알고 있습니다. 건조시키거나 찌면 쇼가올성분이 생겨 매운맛이 없어지는걸로 알고 있는데요. 체온을 올리는데는 쇼가올 진저롤 다 효과가 있지만...그리고 설탕도 비정제설탕은 좋은 성분이 많아요. 백설탕이 위험하죠,17
HGER-swn0Uo,"혈관 튼튼~~외
넘 잘듣고있답니다
덕분에 건강챙겨 가니
늘감사드려요 ",16
HGER-swn0Uo,"꿀,식초의.비율은 어찌되나요?
좋은영상 감사합니다",16
HGER-swn0Uo,"생강과, 레몬 사러  갈꺼예요 ㅎㅎ 항상 유익하고 좋은정보 감사드려요",10
HGER-swn0Uo,"소다님은 부지런쟁이!
 잘 듣겠습니다 고맙습니다",9
HGER-swn0Uo,감사합니다 방송응원합니다,9
HGER-swn0Uo,귀한 영상 감사드립니다!,9
HGER-swn0Uo,감사합니다 ~소다님 ~오늘도 건강소식 들려주셔서 감사합니다 ~꼭 만들어서 먹어볼께요~사랑합니다️,8
HGER-swn0Uo,"한 동안 Ginger shots ( 생강, 레몬, 오렌지 )를 만들어서 아침 공복에 마셨었는데 위가 아프고 역류성 증상이 보여서 이젠 중단했네요. 정말 건강을 지킬수 있는 것이었는데 안타까워요.",8
HGER-swn0Uo,"감사합니다 소다님
 모닝 요 ~",7
HGER-swn0Uo,잘 듣겠습니다.,7
HGER-swn0Uo,감사합니다  ,7
HGER-swn0Uo,감사합니다,6
HGER-swn0Uo,감사합니다 소다님,6
HGER-swn0Uo,16:05,6
HGER-swn0Uo,중년이후 혈관관리의 중요성을 다시한번 생각하게 됩니다 좋은 내용 이네요 감사합니다.,5
HGER-swn0Uo,레몬과 꿀타서 마셔요 ㆍ레몬만은 너무 위에 자극이 있어서요,5
HGER-swn0Uo,"5분책방님~~기분 좋은 아침입니다!!
저도 위가 약한편이라 식후에 먹고 있는데요~~ 처음에는 한 스푼으로 시작했는데 지금은 양이 꽤 늘었어요^^
오늘도 건강하고 행복한 날 되세요~
고맙습니다",5
HGER-swn0Uo,"굿모님요^^
레몬수비율은어떻게되나요
좋은하루되세요",4
HGER-swn0Uo,감사합니다 ,4
HGER-swn0Uo,감사합니다!!!,3
HGER-swn0Uo,초생강은 어떻게 먹나요,3
HGER-swn0Uo,"나도 레몬식초 담아서 먹어 보겠습니다 레모힉초가 몸에 좋다는 말은 많이 들었습니다만은
쉽게 실천이 안되드군",3
HGER-swn0Uo,"감사합니다 우진님~ 기분 좋게 시작하는 목요일~ 오늘도 좋은 생각, 활짝 웃는 얼굴로 즐겁게~ 행복하고 건강한 하루 보내세요~^^ 화이팅!!!",3
